"","title","year","length","budget","rating","votes","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Next Friday 2000","Next Friday","2000","98","9500000","5.2","3457","R","0","0","1","0","0","0","0"
"Nice Guys Sleep Alone 1999","Nice Guys Sleep Alone","1999","92",NA,"5.9","195","R","0","0","1","0","0","1","0"
"Nicholas Nickleby 2002","Nicholas Nickleby","2002","132","10000000","7.4","1651","PG","0","0","0","1","0","0","0"
"Nicotina 2003","Nicotina","2003","90",NA,"6.4","431","R","0","0","1","0","0","0","0"
"Night at the Golden Eagle 2002","Night at the Golden Eagle","2002","87",NA,"5.8","214","R","0","0","0","1","0","0","0"
"Nightstalker 2002","Nightstalker","2002","95",NA,"4.0","212","R","0","0","0","0","0","0","0"
"Nine Dead Gay Guys 2002","Nine Dead Gay Guys","2002","83",NA,"6.2","274","R","0","0","1","0","0","0","0"
"Ninth Gate, The 1999","Ninth Gate, The","1999","133","38000000","6.4","16291","R","0","0","0","0","0","0","0"
"Nirgendwo in Afrika 2001","Nirgendwo in Afrika","2001","141",NA,"8.0","2688","R","0","0","0","1","0","0","0"
"No Alibi 2000","No Alibi","2000","90",NA,"4.4","201","R","0","0","0","1","0","1","0"
"No Man's Land 2001","No Man's Land","2001","98",NA,"7.9","7184","R","0","0","1","1","0","0","0"
"No One Can Hear You 2001","No One Can Hear You","2001","92",NA,"4.4","101","R","0","0","0","0","0","0","0"
"No Such Thing 2001","No Such Thing","2001","102",NA,"6.5","793","R","0","0","1","1","0","0","0"
"No Turning Back 2001","No Turning Back","2001","101",NA,"5.7","134","R","0","0","0","1","0","0","0"
"Nobody's Baby 2001","Nobody's Baby","2001","110",NA,"6.2","290","R","0","0","1","0","0","0","0"
"Nochnoy dozor 2004","Nochnoy dozor","2004","115","4200000","6.3","1020","R","1","0","0","0","0","0","0"
"Noel 2004","Noel","2004","96",NA,"5.9","211","PG","0","0","0","1","0","0","0"
"Non ho sonno 2001","Non ho sonno","2001","117",NA,"6.0","951","R","0","0","0","0","0","0","0"
"Nora 2000","Nora","2000","106",NA,"5.9","460","R","0","0","0","1","0","0","0"
"Northfork 2003","Northfork","2003","103","1900000","6.2","1521","PG-13","0","0","0","1","0","0","0"
"Not Another Teen Movie 2001","Not Another Teen Movie","2001","89","16000000","5.2","10295","R","0","0","1","0","0","0","0"
"Notebook, The 2004","Notebook, The","2004","123","30000000","7.8","8830","PG-13","0","0","0","1","0","1","0"
"Notting Hill 1999","Notting Hill","1999","124","42000000","7.0","27285","PG-13","0","0","1","1","0","1","0"
"November 2004","November","2004","73","300000","2.8","164","R","0","0","0","1","0","0","0"
"Novo 2002","Novo","2002","98",NA,"5.9","300","R","0","0","1","1","0","1","0"
"Novocaine 2001","Novocaine","2001","95","6000000","5.9","2829","R","0","0","1","1","0","0","0"
"Nueve reinas 2000","Nueve reinas","2000","114","1500000","7.6","3721","R","0","0","0","1","0","0","0"
"Nurse Betty 2000","Nurse Betty","2000","110","24000000","6.6","10441","R","0","0","1","1","0","1","0"
"Nutty Professor II: The Klumps 2000","Nutty Professor II: The Klumps","2000","109","84000000","4.5","5825","PG-13","0","0","1","0","0","0","0"
"O 2001","O","2001","95","5000000","6.3","4555","R","0","0","0","1","0","1","0"
"O Brother, Where Art Thou? 2000","O Brother, Where Art Thou?","2000","106","26000000","7.8","37961","PG-13","0","0","1","0","0","0","0"
"Obra maestra 2000","Obra maestra","2000","115",NA,"6.0","135","R","0","0","1","0","0","0","0"
"Ocean's Eleven 2001","Ocean's Eleven","2001","116","85000000","7.5","44662","PG-13","0","0","1","0","0","0","0"
"Ocean's Twelve 2004","Ocean's Twelve","2004","125","110000000","6.0","14797","PG-13","0","0","1","0","0","0","0"
"Octane 2003","Octane","2003","91","11500000","4.4","355","R","0","0","0","0","0","0","0"
"October Sky 1999","October Sky","1999","108",NA,"7.7","12847","PG","0","0","0","1","0","0","0"
"Octopus 2000","Octopus","2000","95","5000000","2.8","367","PG-13","0","0","0","0","0","0","0"
"Octopus 2: River of Fear 2001","Octopus 2: River of Fear","2001","91",NA,"2.6","158","R","0","0","0","0","0","0","0"
"Off the Map 2003","Off the Map","2003","105",NA,"7.6","229","PG-13","0","0","0","1","0","0","0"
"Office Space 1999","Office Space","1999","89","10000000","7.7","26134","R","0","0","1","0","0","0","0"
"Old School 2003","Old School","2003","92","24000000","6.7","14283","R","0","0","1","0","0","0","0"
"Oldboy 2003","Oldboy","2003","120",NA,"8.4","8983","R","1","0","0","0","0","0","0"
"On the Line 2001","On the Line","2001","85","10000000","4.1","1013","PG","0","0","1","0","0","1","0"
"Once Upon a Time in Mexico 2003","Once Upon a Time in Mexico","2003","102","29000000","6.0","14732","R","1","0","0","0","0","0","0"
"Once Upon a Time in the Midlands 2002","Once Upon a Time in the Midlands","2002","104",NA,"5.7","583","R","0","0","0","1","0","0","0"
"Once in the Life 2000","Once in the Life","2000","104",NA,"4.8","160","R","0","0","0","1","0","0","0"
"One Day in September 2000","One Day in September","2000","94",NA,"7.6","1186","R","0","0","0","0","1","0","0"
"One Hour Photo 2002","One Hour Photo","2002","96","12000000","7.1","17130","R","0","0","0","1","0","0","0"
"One Night at McCool's 2001","One Night at McCool's","2001","93",NA,"6.2","6893","R","0","0","1","0","0","0","0"
"One Point O 2004","One Point O","2004","92",NA,"6.0","505","R","0","0","0","0","0","0","0"
"Onegin 1999","Onegin","1999","106","14000000","6.3","1327","R","0","0","0","1","0","1","0"
"Ong-bak 2003","Ong-bak","2003","101",NA,"7.2","3193","R","1","0","0","0","0","0","0"
"Onmyoji 2001","Onmyoji","2001","116",NA,"6.1","189","R","1","0","0","1","0","0","0"
"Open Range 2003","Open Range","2003","139","26000000","7.5","8799","R","0","0","0","1","0","0","0"
"Open Water 2003","Open Water","2003","79","130000","6.1","7204","R","0","0","0","1","0","0","0"
"Opportunists, The 2000","Opportunists, The","2000","90",NA,"5.9","396","R","0","0","1","1","0","0","0"
"Orange County 2002","Orange County","2002","82","18000000","6.1","8526","PG-13","0","0","1","1","0","0","0"
"Order, The 2001","Order, The","2001","89",NA,"4.1","1053","R","1","0","0","1","0","0","0"
"Order, The 2003","Order, The","2003","102","38000000","4.6","3004","R","0","0","0","0","0","0","0"
"Ordinary Decent Criminal 2000","Ordinary Decent Criminal","2000","85",NA,"6.2","2492","R","0","0","1","0","0","0","0"
"Original Kings of Comedy, The 2000","Original Kings of Comedy, The","2000","115","3000000","6.1","1386","R","0","0","1","0","1","0","0"
"Original Sin 2001","Original Sin","2001","116","26000000","5.5","4592","R","0","0","0","1","0","1","0"
"Osama 2003","Osama","2003","83","46000","7.5","1546","PG-13","0","0","0","1","0","0","0"
"Osmosis Jones 2001","Osmosis Jones","2001","95","75000000","6.2","3410","PG","0","1","1","0","0","0","0"
"Other Side of Heaven, The 2001","Other Side of Heaven, The","2001","113","7000000","6.5","683","PG","0","0","0","1","0","0","0"
"Other Sister, The 1999","Other Sister, The","1999","129",NA,"6.1","3021","PG-13","0","0","1","1","0","1","0"
"Others, The 2001","Others, The","2001","104","17000000","7.8","36914","PG-13","0","0","0","1","0","0","0"
"Otogiriso 2001","Otogiriso","2001","85",NA,"5.2","286","R","0","0","0","0","0","0","0"
"Otro lado de la cama, El 2002","Otro lado de la cama, El","2002","114",NA,"6.9","988","R","0","0","1","1","0","1","0"
"Our Song 2000","Our Song","2000","95",NA,"6.9","187","R","0","0","0","1","0","0","0"
"Out Cold 2001","Out Cold","2001","92","11000000","5.2","1990","PG-13","0","0","1","0","0","0","0"
"Out for a Kill 2003","Out for a Kill","2003","88","20000000","3.0","818","R","1","0","0","0","0","0","0"
"Out in Fifty 1999","Out in Fifty","1999","103",NA,"3.0","132","R","0","0","0","1","0","0","0"
"Out of Reach 2004","Out of Reach","2004","88","20000000","3.7","399","R","1","0","0","1","0","1","0"
"Out-of-Towners, The 1999","Out-of-Towners, The","1999","90","40000000","5.0","2919","PG-13","0","0","1","0","0","0","0"
"Outside Providence 1999","Outside Providence","1999","96","7000000","6.1","2735","R","0","0","1","1","0","1","0"
"Overnight 2003","Overnight","2003","82",NA,"7.5","101","R","0","0","0","0","1","0","0"
"Owning Mahowny 2003","Owning Mahowny","2003","104","10000000","7.0","1999","R","0","0","0","1","0","0","0"
"Oxygen 1999","Oxygen","1999","92",NA,"6.1","956","R","0","0","0","0","0","0","0"
"P.S. 2004","P.S.","2004","97",NA,"6.3","653","R","0","0","1","1","0","1","0"
"P.S. Your Cat Is Dead 2002","P.S. Your Cat Is Dead","2002","88","2000000","4.7","185","R","0","0","1","0","0","0","0"
"P.U.N.K.S. 1999","P.U.N.K.S.","1999","115",NA,"2.5","220","PG","0","0","1","0","0","0","0"
"Pacifier, The 2005","Pacifier, The","2005","95","56000000","4.9","2179","PG","1","0","1","0","0","0","0"
"Pacte des loups, Le 2001","Pacte des loups, Le","2001","152",NA,"7.0","12958","R","1","0","0","0","0","0","0"
"Paid in Full 2002","Paid in Full","2002","97",NA,"6.1","404","R","1","0","0","1","0","0","0"
"Pandaemonium 2000","Pandaemonium","2000","124","15000000","6.2","244","PG-13","0","0","0","1","0","0","0"
"Pane e tulipani 2000","Pane e tulipani","2000","118",NA,"7.3","2259","PG-13","0","0","1","0","0","1","0"
"Panic 2000","Panic","2000","88","1000000","6.9","2524","R","0","0","1","1","0","0","0"
"Panic 2001","Panic","2001","91",NA,"4.3","120","R","1","0","0","1","0","0","0"
"Panic Room 2002","Panic Room","2002","113","48000000","7.0","24302","R","0","0","0","1","0","0","0"
"Paparazzi 2004","Paparazzi","2004","84","20000000","5.6","2028","PG-13","0","0","0","1","0","0","0"
"Paper Soldiers 2002","Paper Soldiers","2002","88",NA,"5.1","103","R","1","0","1","0","0","0","0"
"Parole Officer, The 2001","Parole Officer, The","2001","93",NA,"6.3","1047","R","0","0","1","0","0","0","0"
"Party Monster 2003","Party Monster","2003","98","5000000","5.8","1976","R","0","0","0","1","0","0","0"
"Passion of Mind 2000","Passion of Mind","2000","101",NA,"5.5","838","PG-13","0","0","0","1","0","1","0"
"Passion of the Christ, The 2004","Passion of the Christ, The","2004","127","30000000","7.4","34046","R","0","0","0","1","0","0","0"
"Passionada 2002","Passionada","2002","108",NA,"6.1","279","PG-13","0","0","1","1","0","1","0"
"Patriot, The 2000","Patriot, The","2000","164","110000000","6.8","29665","R","1","0","0","1","0","0","0"
"Pauline & Paulette 2001","Pauline & Paulette","2001","106",NA,"6.8","525","PG","0","0","1","1","0","0","0"
"Pauly Shore Is Dead 2003","Pauly Shore Is Dead","2003","82",NA,"5.0","521","R","0","0","1","0","0","0","0"
"Pavilion of Women 2001","Pavilion of Women","2001","111","5000000","5.3","209","R","0","0","0","1","0","0","0"
"Pay It Forward 2000","Pay It Forward","2000","123","40000000","6.7","13531","PG-13","0","0","0","1","0","1","0"
"Payback 1999","Payback","1999","100","50000000","6.8","18252","R","0","0","0","0","0","0","0"
"Paycheck 2003","Paycheck","2003","119","60000000","6.1","10383","PG-13","1","0","0","0","0","0","0"
"Pearl Harbor 2001","Pearl Harbor","2001","184","135250000","5.4","33409","R","1","0","0","1","0","1","0"
"Pendulum 2001","Pendulum","2001","95",NA,"4.0","150","R","0","0","0","0","0","0","0"
"People I Know 2002","People I Know","2002","100",NA,"5.5","2051","R","0","0","0","1","0","1","0"
"Perfect Score, The 2004","Perfect Score, The","2004","93",NA,"5.0","2019","PG-13","0","0","1","0","0","0","0"
"Perfect Storm, The 2000","Perfect Storm, The","2000","130","120000000","6.2","24946","PG-13","1","0","0","1","0","0","0"
"Perfect Strangers 2003","Perfect Strangers","2003","96",NA,"5.2","203","PG-13","0","0","0","1","0","0","0"
"Perfect You, The 2002","Perfect You, The","2002","90",NA,"5.6","135","R","0","0","1","0","0","1","0"
"Perfume 2001","Perfume","2001","106",NA,"4.2","192","R","0","0","0","1","0","0","0"
"Personal Velocity: Three Portraits 2002","Personal Velocity: Three Portraits","2002","86",NA,"6.5","1207","R","0","0","0","1","0","0","0"
"Peter Pan 2003","Peter Pan","2003","113","100000000","7.2","5596","PG","1","0","0","0","0","0","0"
"Phantom of the Opera, The 2004","Phantom of the Opera, The","2004","143","60000000","7.2","11283","PG-13","0","0","0","1","0","1","0"
"Phone 2002","Phone","2002","102",NA,"6.2","654","R","0","0","0","0","0","0","0"
"Phone Booth 2002","Phone Booth","2002","81","10000000","7.3","21075","R","0","0","0","0","0","0","0"
"Pianist, The 2002","Pianist, The","2002","150","35000000","8.5","30467","R","0","0","0","1","0","0","0"
"Pianiste, La 2001","Pianiste, La","2001","130",NA,"7.2","4123","R","0","0","0","1","0","0","0"
"Picking Up the Pieces 2000","Picking Up the Pieces","2000","95",NA,"4.9","950","R","0","0","1","0","0","0","0"
"Picture Claire 2001","Picture Claire","2001","91",NA,"5.1","210","R","0","0","0","0","0","0","0"
"Pieces of April 2003","Pieces of April","2003","80","300000","7.3","4604","PG-13","0","0","1","1","0","0","0"
"Pipe Dream 2002","Pipe Dream","2002","91",NA,"6.3","330","R","0","0","1","0","0","1","0"
"Pirates of the Caribbean: The Curse of the Black Pearl 2003","Pirates of the Caribbean: The Curse of the Black Pearl","2003","143","125000000","8.0","60812","PG-13","1","0","1","0","0","0","0"
"Pitch Black 2000","Pitch Black","2000","112","23000000","6.7","18522","R","0","0","0","0","0","0","0"
"Placard, Le 2001","Placard, Le","2001","84",NA,"7.1","3083","R","0","0","1","0","0","0","0"
"Planet of the Apes 2001","Planet of the Apes","2001","119","100000000","5.6","28601","PG-13","1","0","0","0","0","0","0"
"Play It to the Bone 1999","Play It to the Bone","1999","124","24000000","5.1","2645","R","0","0","1","1","0","0","0"
"Playing Mona Lisa 2000","Playing Mona Lisa","2000","97",NA,"5.9","261","R","0","0","1","0","0","0","0"
"Pledge, The 2001","Pledge, The","2001","123","45000000","6.9","9852","R","0","0","0","1","0","0","0"
"Plots with a View 2002","Plots with a View","2002","94",NA,"6.5","596","R","0","0","1","0","0","1","0"
"Plunkett & Macleane 1999","Plunkett & Macleane","1999","93",NA,"6.1","2887","R","1","0","0","1","0","0","0"
"Point Men, The 2001","Point Men, The","2001","88","6100000","4.6","266","R","1","0","0","0","0","0","0"
"Pollock 2000","Pollock","2000","132","6000000","7.1","4013","R","0","0","0","1","0","0","0"
"Poolhall Junkies 2002","Poolhall Junkies","2002","94","4000000","6.6","1411","R","0","0","0","1","0","0","0"
"Poor White Trash 2000","Poor White Trash","2000","85",NA,"4.6","375","R","0","0","1","0","0","0","0"
"Pootie Tang 2001","Pootie Tang","2001","70","3000000","4.1","1921","PG-13","1","0","1","0","0","0","0"
"Por la libre 2000","Por la libre","2000","96",NA,"7.2","119","R","0","0","1","0","0","0","0"
"Porn Star: The Legend of Ron Jeremy 2001","Porn Star: The Legend of Ron Jeremy","2001","80",NA,"6.6","685","R","0","0","0","0","1","0","0"
"Pornographer, The 1999","Pornographer, The","1999","89",NA,"5.6","328","R","0","0","0","0","0","0","0"
"Power Play 2002","Power Play","2002","100",NA,"3.6","142","R","1","0","0","0","0","0","0"
"Powerpuff Girls, The 2002","Powerpuff Girls, The","2002","73","10000000","6.2","1334","PG","1","1","1","0","0","0","0"
"Presque rien 2000","Presque rien","2000","100",NA,"6.6","735","R","0","0","0","1","0","1","0"
"Preston Tylk 2000","Preston Tylk","2000","93",NA,"5.2","131","R","0","0","0","0","0","0","0"
"Pretty When You Cry 2001","Pretty When You Cry","2001","90",NA,"4.1","107","R","0","0","0","1","0","0","0"
"Prey for Rock & Roll 2003","Prey for Rock & Roll","2003","104",NA,"6.2","429","R","0","0","0","1","0","0","0"
"Price of Glory 2000","Price of Glory","2000","118","10000000","6.2","265","PG-13","0","0","0","1","0","0","0"
"Price of Milk, The 2000","Price of Milk, The","2000","87",NA,"6.4","451","PG-13","0","0","0","0","0","1","0"
"Pride and Prejudice 2003","Pride and Prejudice","2003","104",NA,"5.8","232","PG","0","0","1","0","0","1","0"
"Prime Gig, The 2000","Prime Gig, The","2000","98",NA,"6.4","538","R","0","0","0","1","0","0","0"
"Primer 2004","Primer","2004","77","7000","6.4","1466","PG-13","0","0","0","1","0","0","0"
"Prince & Me, The 2004","Prince & Me, The","2004","111",NA,"5.6","2412","PG","0","0","1","0","0","1","0"
"Prince of Central Park 2000","Prince of Central Park","2000","109",NA,"4.9","145","PG-13","1","0","0","1","0","0","0"
"Project Viper 2002","Project Viper","2002","85",NA,"3.2","145","R","0","0","0","0","0","0","0"
"Promenons-nous dans les bois 2000","Promenons-nous dans les bois","2000","90",NA,"4.0","661","R","0","0","0","0","0","0","0"
"Proof of Life 2000","Proof of Life","2000","135","65000000","6.3","9592","R","1","0","0","1","0","0","0"
"Prophet's Game, The 1999","Prophet's Game, The","1999","110",NA,"5.0","237","R","0","0","0","0","0","0","0"
"Proposal, The 2001","Proposal, The","2001","87",NA,"5.3","188","R","0","0","0","1","0","0","0"
"Pros and Cons 1999","Pros and Cons","1999","104",NA,"4.1","136","R","0","0","1","0","0","0","0"
"Proximity 2001","Proximity","2001","98","6000000","4.9","189","R","0","0","0","0","0","0","0"
"Prozac Nation 2001","Prozac Nation","2001","99","9000000","6.2","940","R","0","0","0","1","0","0","0"
"Pumpkin 2002","Pumpkin","2002","113",NA,"6.2","2344","R","0","0","1","1","0","1","0"
"Punch 2002","Punch","2002","90",NA,"6.5","156","R","0","0","0","1","0","0","0"
"Punch-Drunk Love 2002","Punch-Drunk Love","2002","95","25000000","7.5","18169","R","0","0","1","1","0","1","0"
"Punisher, The 2004","Punisher, The","2004","124","33000000","6.2","9989","R","1","0","0","0","0","0","0"
"Purpose 2002","Purpose","2002","96",NA,"5.2","513","R","0","0","0","1","0","0","0"
"Pushing Tin 1999","Pushing Tin","1999","119","33000000","5.9","7528","R","0","0","1","1","0","0","0"
"Python 2000","Python","2000","99",NA,"3.6","587","R","0","0","0","0","0","0","0"
"Qianxi manbo 2001","Qianxi manbo","2001","120",NA,"6.3","513","R","0","0","0","1","0","0","0"
"Queen of the Damned 2002","Queen of the Damned","2002","104","35000000","4.7","6999","R","0","0","0","0","0","0","0"
